Code gare;Intitul̩ gare;Nombre plateformes;Segment DRG;UIC;Unit̩ gare;TVS;Code postal;Commune;D̩partement - Commune;D̩partement;R̩gion;Agence G&C;R̩gion SNCF;Niveau de service;Longitude WGS 84;Latitude WGS 84;Date fin validit̩ gare
1760;Saint-Senoux - Pl̩ch̢tel;1;c;87471169;;XSX;35580;Saint-Senoux;35-312;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.7661904;47.8977519;
1761;Guichen - Bourg-des-Comptes;1;b;87471151;;GBC;35580;Guichen;35-126;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.7601845;47.9350963;
1762;Laill̩;1;c;87471144;;LLJ;35890;Laill̩;35-139;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.7495654;47.9717527;
1763;Breteil;1;c;87471102;;BTU;35160;Breteil;35-040;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.8972095;48.1405713;
1764;La Brohini̬re;1;c;87471094;;LBR;35360;Montauban-de-Bretagne;35-184;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.110452;48.2134717;
1765;Montauban-de-Bretagne;1;b;87471086;;MDT;35360;Montauban-de-Bretagne;35-184;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.052675;48.190241  ;
1766;Montfort-sur-Meu;1;b;87471078;;MFS;35160;Montfort-sur-Meu;35-188;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.949141;48.138878  ;
1767;L'Hermitage - Mordelles;1;c;87471060;;LHL;35590;Hermitage;35-131;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.8192987;48.123142;
1768;Saint-Jacques-de-la-Lande;1;c;87471052;;SJJ;35136;Saint-Jacques-de-la-Lande;35-281;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.7142367;48.0670983;
1769;Betton;1;c;87471045;;BTN;35830;Betton;35-024;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.6344745;48.1814803;
1770;Bruz;1;c;87471037;;BRZ;35170;Bruz;35-047;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.7518088;48.0286;
1771;Vern;1;c;87471029;;VRN;35770;Vern-sur-Seiche;35-352;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.5966524;48.0469707;
1772;Rennes;1;a;87471003;;RES;35005;Rennes;35-238;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;3;-1.672744;48.103517;
1773;Chamonix Aiguille du Midi;1;c;87462085;;;74400;Chamonix-Mont-Blanc;74-056;Haute-Savoie;Rh̫ne-Alpes;AG Centre Est Rh̫ne Alpin;REGION ALPES;1;6.8667152;45.91993;
